PDF页码	图片文件	行数	字符数	平均置信度	错误
1	page-001.jpg	19	191	0.7053	-
2	page-002.jpg	42	949	0.7262	-
3	page-003.jpg	16	204	0.6125	-
4	page-004.jpg	51	1589	0.6902	-
5	page-005.jpg	40	1451	0.8450	-
6	page-006.jpg	29	1007	0.8276	-
7	page-007.jpg	36	1223	0.8194	-
8	page-008.jpg	53	865	0.6189	-
9	page-009.jpg	40	1091	0.6400	-
10	page-010.jpg	44	1055	0.6091	-
11	page-011.jpg	152	993	0.6342	-
12	page-012.jpg	212	1222	0.6788	-
13	page-013.jpg	193	1198	0.7057	-
14	page-014.jpg	215	1336	0.6884	-
15	page-015.jpg	195	1256	0.6621	-
16	page-016.jpg	52	389	0.7231	-
17	page-017.jpg	3	53	0.6000	-
18	page-018.jpg	35	1069	0.8086	-
19	page-019.jpg	36	569	0.6917	-
20	page-020.jpg	43	1396	0.7535	-
21	page-021.jpg	63	1131	0.7587	-
22	page-022.jpg	36	814	0.6806	-
23	page-023.jpg	44	1153	0.6295	-
24	page-024.jpg	38	967	0.8053	-
25	page-025.jpg	54	951	0.7889	-
26	page-026.jpg	48	943	0.7583	-
27	page-027.jpg	43	1298	0.7023	-
28	page-028.jpg	49	1343	0.3939	-
29	page-029.jpg	57	1466	0.6053	-
30	page-030.jpg	67	1180	0.6313	-
31	page-031.jpg	47	1018	0.7085	-
32	page-032.jpg	45	1042	0.6356	-
33	page-033.jpg	44	1172	0.7068	-
34	page-034.jpg	42	926	0.5214	-
35	page-035.jpg	35	763	0.4686	-
36	page-036.jpg	80	1100	0.7562	-
37	page-037.jpg	66	1340	0.6606	-
38	page-038.jpg	73	1137	0.7767	-
39	page-039.jpg	60	928	0.5117	-
40	page-040.jpg	16	396	0.5125	-
41	page-041.jpg	34	968	0.6912	-
42	page-042.jpg	56	1200	0.7268	-
43	page-043.jpg	51	1264	0.5706	-
44	page-044.jpg	56	1268	0.6589	-
45	page-045.jpg	52	1320	0.6500	-
46	page-046.jpg	52	1061	0.5596	-
47	page-047.jpg	58	1168	0.6328	-
48	page-048.jpg	74	1295	0.6676	-
49	page-049.jpg	54	758	0.6037	-
50	page-050.jpg	63	1103	0.6540	-
