PDF页码	来源	行数	字符数	错误
1	PDF内置文字层	0	0	-
2	PDF内置文字层	48	799	-
3	PDF内置文字层	21	441	-
4	PDF内置文字层	58	1998	-
5	PDF内置文字层	65	1388	-
6	PDF内置文字层	32	551	-
7	PDF内置文字层	64	1903	-
8	PDF内置文字层	70	1318	-
9	PDF内置文字层	31	481	-
10	PDF内置文字层	70	1759	-
11	PDF内置文字层	64	1243	-
12	PDF内置文字层	62	1212	-
13	PDF内置文字层	63	1174	-
14	PDF内置文字层	71	1266	-
15	PDF内置文字层	70	1680	-
16	PDF内置文字层	69	1500	-
17	PDF内置文字层	68	1268	-
18	PDF内置文字层	65	1591	-
19	PDF内置文字层	63	1250	-
20	PDF内置文字层	66	1138	-
21	PDF内置文字层	85	2738	-
22	PDF内置文字层	62	1297	-
23	PDF内置文字层	66	1618	-
24	PDF内置文字层	66	2421	-
25	PDF内置文字层	68	2453	-
26	PDF内置文字层	68	2141	-
27	PDF内置文字层	22	472	-
28	PDF内置文字层	68	1341	-
29	PDF内置文字层	13	244	-
30	PDF内置文字层	53	2794	-
31	PDF内置文字层	48	4707	-
32	PDF内置文字层	47	4732	-
33	PDF内置文字层	67	4672	-
34	PDF内置文字层	61	6105	-
35	PDF内置文字层	64	4937	-
36	PDF内置文字层	34	2955	-
37	PDF内置文字层	47	1552	-
38	PDF内置文字层	55	2803	-
39	PDF内置文字层	56	1951	-
40	PDF内置文字层	49	2128	-
41	PDF内置文字层	49	1590	-
42	PDF内置文字层	52	1233	-
43	PDF内置文字层	65	1900	-
44	PDF内置文字层	49	924	-
45	PDF内置文字层	52	1372	-
46	PDF内置文字层	80	3696	-
47	PDF内置文字层	48	1924	-
48	PDF内置文字层	66	2096	-
49	PDF内置文字层	60	1580	-
50	PDF内置文字层	54	1676	-
51	PDF内置文字层	74	2425	-
52	PDF内置文字层	50	1821	-
53	PDF内置文字层	53	1686	-
54	PDF内置文字层	51	1250	-
55	PDF内置文字层	57	1543	-
56	PDF内置文字层	49	1828	-
57	PDF内置文字层	36	508	-
58	PDF内置文字层	42	1566	-
59	PDF内置文字层	49	1587	-
60	PDF内置文字层	49	2197	-
61	PDF内置文字层	51	2260	-
62	PDF内置文字层	50	2345	-
63	PDF内置文字层	55	2050	-
64	PDF内置文字层	51	1520	-
65	PDF内置文字层	50	1738	-
66	PDF内置文字层	48	1776	-
67	PDF内置文字层	53	1841	-
68	PDF内置文字层	59	2181	-
69	PDF内置文字层	52	1689	-
70	PDF内置文字层	53	1664	-
71	PDF内置文字层	60	2164	-
72	PDF内置文字层	52	1961	-
73	PDF内置文字层	65	2117	-
74	PDF内置文字层	56	1831	-
75	PDF内置文字层	54	1849	-
76	PDF内置文字层	59	1981	-
77	PDF内置文字层	54	1668	-
78	PDF内置文字层	68	3162	-
79	PDF内置文字层	58	3220	-
80	PDF内置文字层	58	2342	-
81	PDF内置文字层	63	2692	-
82	PDF内置文字层	58	2253	-
83	PDF内置文字层	52	2071	-
84	PDF内置文字层	60	3343	-
85	PDF内置文字层	53	1849	-
86	PDF内置文字层	60	2220	-
87	PDF内置文字层	81	2495	-
88	PDF内置文字层	57	1750	-
89	PDF内置文字层	59	2247	-
90	PDF内置文字层	55	2080	-
91	PDF内置文字层	82	2812	-
92	PDF内置文字层	56	1540	-
93	PDF内置文字层	74	3017	-
94	PDF内置文字层	59	1915	-
95	PDF内置文字层	53	1969	-
