PDF页码	图片文件	行数	字符数	平均置信度	错误
1	page-001.jpg	19	236	0.6316	-
2	page-002.jpg	13	202	0.5769	-
3	page-003.jpg	54	1708	0.6741	-
4	page-004.jpg	40	1451	0.8225	-
5	page-005.jpg	30	1053	0.8833	-
6	page-006.jpg	34	830	0.8000	-
7	page-007.jpg	40	779	0.7900	-
8	page-008.jpg	38	864	0.7158	-
9	page-009.jpg	19	317	0.4632	-
10	page-010.jpg	147	1053	0.5150	-
11	page-011.jpg	175	1198	0.5114	-
12	page-012.jpg	160	985	0.5881	-
13	page-013.jpg	200	1330	0.5645	-
14	page-014.jpg	138	990	0.6217	-
15	page-015.jpg	126	868	0.5151	-
16	page-016.jpg	41	944	0.7951	-
17	page-017.jpg	68	870	0.7853	-
18	page-018.jpg	39	807	0.7282	-
19	page-019.jpg	40	1075	0.8950	-
20	page-020.jpg	51	1200	0.8314	-
21	page-021.jpg	39	1254	0.7641	-
22	page-022.jpg	41	1301	0.6878	-
23	page-023.jpg	40	1086	0.8175	-
24	page-024.jpg	38	982	0.8895	-
25	page-025.jpg	37	1071	0.6784	-
26	page-026.jpg	20	467	0.7550	-
27	page-027.jpg	35	874	0.6743	-
28	page-028.jpg	57	1104	0.5825	-
29	page-029.jpg	83	1039	0.5687	-
30	page-030.jpg	55	1132	0.5491	-
31	page-031.jpg	73	867	0.5644	-
32	page-032.jpg	124	799	0.7831	-
33	page-033.jpg	68	777	0.6206	-
34	page-034.jpg	84	708	0.6714	-
35	page-035.jpg	114	1010	0.6246	-
36	page-036.jpg	49	1104	0.5286	-
37	page-037.jpg	69	1056	0.7159	-
38	page-038.jpg	62	1142	0.7145	-
39	page-039.jpg	65	1103	0.6615	-
40	page-040.jpg	90	1496	0.5722	-
41	page-041.jpg	40	924	0.6100	-
42	page-042.jpg	43	912	0.7674	-
43	page-043.jpg	60	850	0.7767	-
44	page-044.jpg	58	1011	0.6655	-
45	page-045.jpg	83	1268	0.7735	-
46	page-046.jpg	96	1109	0.6552	-
47	page-047.jpg	72	1140	0.7056	-
48	page-048.jpg	75	905	0.6413	-
49	page-049.jpg	128	1044	0.7711	-
